molecule_chembl_id,smiles,mechanism_of_action,target_chembl_id,target_name,action_type,max_phase,pref_name,text_rich
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,Carbonic anhydrase VII inhibitor,CHEMBL2326,Carbonic anhydrase 7,INHIBITOR,4,METHAZOLAMIDE,Carbonic anhydrase VII inhibitor Target: Carbonic anhydrase 7. Action: INHIBITOR. Drug: METHAZOLAMIDE.
CHEMBL1201117,COc1ccccc1OCC(O)COC(N)=O,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,4,METHOCARBAMOL,Carbonic anhydrase I inhibitor Target: Carbonic anhydrase 1. Action: INHIBITOR. Drug: METHOCARBAMOL.
CHEMBL1200814,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,4,ACETAZOLAMIDE SODIUM,Carbonic anhydrase I inhibitor Target: Carbonic anhydrase 1. Action: INHIBITOR. Drug: ACETAZOLAMIDE SODIUM.
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,4,DICHLORPHENAMIDE,Carbonic anhydrase I inhibitor Target: Carbonic anhydrase 1. Action: INHIBITOR. Drug: DICHLORPHENAMIDE.
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,4,ACETAZOLAMIDE,Carbonic anhydrase I inhibitor Target: Carbonic anhydrase 1. Action: INHIBITOR. Drug: ACETAZOLAMIDE.
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,4,METHAZOLAMIDE,Carbonic anhydrase I inhibitor Target: Carbonic anhydrase 1. Action: INHIBITOR. Drug: METHAZOLAMIDE.
CHEMBL1450,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,Cytochrome b inhibitor,CHEMBL1777,Cytochrome b,INHIBITOR,4,ATOVAQUONE,Cytochrome b inhibitor Target: Cytochrome b. Action: INHIBITOR. Drug: ATOVAQUONE.
CHEMBL1200771,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1.[Cl-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,TRIDIHEXETHYL CHLORIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: TRIDIHEXETHYL CHLORIDE.
CHEMBL1722209,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)C(O)C(O)C(=O)O,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,TOLTERODINE TARTRATE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: TOLTERODINE TARTRATE.
CHEMBL1240,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,PROPANTHELINE BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: PROPANTHELINE BROMIDE.
