model,eval_set,remove_drug_name,recall_at_1,mrr,recall_at_5,recall_at_10,T4_S2T,T4_T2S,T10_S2T,T10_T2S,T20_S2T,T20_T2S,recall_at_1_abs_drop,recall_at_1_pct_drop,source
MoleculeSTM (zero-shot),Full gallery (N=2699),False,0.0889218228973694,0.17109880349995998,0.2434234901815487,0.33679140422378656,0.926,0.933,0.83,0.862,0.739,0.763,,,outputs/comparison_withdrug/comparison_results.csv
MoleculeSTM (zero-shot),Full gallery (N=2699),True,0.014449796220822526,0.04435078531523051,0.060392738051130046,0.09188588366061504,0.695,0.742,0.514,0.599,0.375,0.475,0.07447202667654688,83.74988290083206,outputs/comparison_nodrug/comparison_results.csv
Graphormer (zero-shot),Scaffold test (N=435),False,0.0022988505747126436,0.01507149927739411,0.011494252873563218,0.02528735632183908,0.22298850574712645,0.2367816091954023,0.11494252873563218,0.07816091954022988,0.04597701149425287,0.052873563218390804,,,outputs/graphormer_zero/graphormer_results.csv
Graphormer (zero-shot),Scaffold test (N=435),True,0.004597701149425287,0.018160796747715147,0.013793103448275862,0.027586206896551724,0.2413793103448276,0.24367816091954023,0.09655172413793103,0.10804597701149425,0.04827586206896552,0.06206896551724138,-0.0022988505747126436,-100.0,outputs/graphormer_zero/graphormer_results_nodrug.csv
Thin Bridges (Global),Full gallery (N=2699; train=test),False,0.7465728047424972,0.8494389898521059,0.9848091885883661,0.9970359392367544,1.0,0.999,1.0,0.997,1.0,0.997,,,outputs/comparison_withdrug/comparison_results.csv
Thin Bridges (Global),Full gallery (N=2699; train=test),True,0.14523897739903668,0.2504275652616889,0.36606150426083733,0.4579473879214524,0.788,0.89,0.681,0.801,0.586,0.744,0.6013338273434605,80.54859207512957,outputs/comparison_nodrug/comparison_results.csv
MoleculeLens (ours),Scaffold test (N=435),False,0.1793103448275862,0.2700620594668916,0.3793103448275862,0.45517241379310347,0.7379310344827587,0.7195402298850575,0.5862068965517241,0.5977011494252874,0.5103448275862069,0.503448275862069,,,outputs/Bt_test.pt
MoleculeLens (ours),Scaffold test (N=435),True,0.10574712643678161,0.2214875747439653,0.35172413793103446,0.46206896551724136,0.696551724137931,0.7195402298850575,0.5770114942528736,0.5747126436781609,0.4804597701149425,0.5011494252873563,0.07356321839080459,41.02680965147453,outputs/Bt_test_nodrug.pt
MolPrompt,Scaffold test (N=435),False,0.12873563170433044,0.25645408034324646,0.4000000059604645,0.5310344696044922,0.8344827586206897,0.8344827586206897,0.7149425287356321,0.7011494252873564,0.5770114942528736,0.5540229885057472,,,results/molprompt.json
MolPrompt,Scaffold test (N=435),True,0.0712643712759018,0.17798636853694916,0.28045976161956787,0.41379308700561523,0.7632183908045977,0.7724137931034483,0.6137931034482759,0.6137931034482759,0.496551724137931,0.5218390804597701,0.05747126042842865,44.64133871234282,results/molprompt_nodrug.json
KV-PLM,Scaffold test (N=435),False,0.05517241379310345,0.12066567015324214,0.1724137931034483,0.25057471264367814,0.639080459770115,0.6574712643678161,0.4298850574712644,0.432183908045977,0.3103448275862069,0.30114942528735633,,,results/kv_plm_aligned.json
KV-PLM,Scaffold test (N=435),True,0.034482758620689655,0.0835323926468682,0.1103448275862069,0.1793103448275862,0.5747126436781609,0.5540229885057472,0.3563218390804598,0.3632183908045977,0.25287356321839083,0.23448275862068965,0.020689655172413793,37.5,results/kv_plm_aligned_nodrug.json
